hash,pluginkey,shortname,longname
AO_28A718,com.praecipio.jpt.turbo-kit,turbokit,Turbo Kit
AO_A29AEA,com.projectbalm.riskregister.riskregister-jira,riskregister,Risk Register
AO_F26C1F,com.prontop.service-desk-landingpage,jsdtheming,Ultimate Theming (for JIRA Service Desk)
AO_60DB71,com.pyxis.greenhopper.jira,agile,JIRA Agile
AO_C868C5,com.quisapps.jira.jss,jss,Scripting Suite for JIRA
AO_7C25E5,com.quisapps.jira.jsspro,jss,Scripting Suite Pro for JIRA
AO_A415DF,com.radiantminds.roadmaps-jira,portfolio,Portfolio for Jira
AO_9E74DD,com.redmoon.jira.comment-security-default,commentsecurity,Comment Security Default
AO_C3F46D,com.redmoon.jira.commenthistory.commenthistory,commenthistory,Comment History for JIRA
AO_5E638F,com.redmoon.jira.documentvault,docvault,Document Vault for Jira
AO_9701C1,com.redmoon.jira.issue-actions-todo,issueactionstodo,Issue Actions Todo
AO_385228,com.redmoon.jira.projectdocuments,projdocs,Project Documents for JIRA
AO_F719F1,com.redmoon.jira.secure-admin,secureadmin,Secure Admin
AO_F3AFCB,com.redmoon.subtaskmanager.jira,stm,Sub Task Manager (STM)
AO_D1CA32,com.refinedwiki.jira.servicedesk.refinedtheme,refinedjsd,Refined for Jira Service Desk
AO_F58FCA,com.resolution.atlasplugins.samlsso.Jira,saml,SAML Single Sign On for Jira
AO_8542F1,com.riadalabs.jira.plugins.insight,insight,Insight
AO_F9C6CD,com.riadalabs.jira.plugins.notificationassistant,notificationassistant,Notification Assistant for JIRA
AO_41FCC6,com.riadalabs.jira.plugins.userdeactivator,userdeactivator,User Deactivator for JIRA
AO_95DC8F,com.rozdoum.agile-remaining-estimate-counter,arec,AREC
AO_9AA912,com.rozdoum.watchtower,watchtower,WatchTower Server
AO_A69CA7,com.sapling.elevator,elevator,Elevator for JIRA
AO_A3B085,com.secsign.secsignid,secsign,SecSign ID Two Factor Authentication
AO_22BE8E,com.spartez.jira.plugins.commenttemplates,cannedresponses,Canned Responses for JIRA
AO_62850F,com.spartez.jira.plugins.jiraplanningpoker,agilepoker,Agile Poker Enterprise for JIRA
AO_044626,com.spartez.jira.plugins.scrum-standup-for-jira,scrumstandup,Agile Scrum Standup for JIRA
AO_30028F,com.spartez.jira.plugins.support-chat,jsdchat,Chat for Service Desk
AO_4CB44A,com.spartez.scrumprint.scrumplugin,agilecards,Agile Cards
AO_D4B4E5,com.stiltsoft.jira.smart-attachments,smartattachments,Smart Attachments
AO_6AD1C6,com.stiltsoft.jira.teamcity,teamcity,TeamCity Integration Plugin for JIRA
AO_2E48A5,com.stonikbyte.jira.plugins.project-docs-plugin,projectdocs,Documents
AO_52220E,com.stonikbyte.jira.plugins.project-team-plugin,projectteam,Project Team
AO_C3C6E8,com.tempoplugin.tempo-accounts,tempo,System Plugin: Tempo Accounts
AO_013613,com.tempoplugin.tempo-core,tempo,System Plugin: Tempo Core
AO_2D3BEA,com.tempoplugin.tempo-plan-core,tempoplanner,System Plugin: Tempo Planning API
AO_BEE373,com.tempoplugin.tempo-platform-jira,tempo,System Plugin: Tempo Platform - JIRA
AO_AEFED0,com.tempoplugin.tempo-teams,tempo,System Plugin: Tempo Teams
AO_7DEABF,com.thed.zephyr.je,zephyr,Zephyr for JIRA
AO_2B6685,com.thepluginpeople.jira.emq,emq,Enterprise Mail Queue for JIRA
AO_85377D,com.tngtech.jira.plugins.schizophrenia,userswitcher,User Switcher for JIRA
AO_5345B8,com.topshelfsolution.simpletasklists,simpletasklists,Simple Tasklists
AO_984231,com.topshelfsolution.simplewiki,simplewiki,simplewiki
AO_CB3B8D,com.tse.jira.issueproperties.plugin.jira-issue-properties-plugin,enhancedprops,Enhanced Issue Properties
AO_DB4848,com.tse.jira.projectproperties.plugin.jira-project-properties-plugin,enhancedprops,Enhanced Project Properties
AO_744954,com.valiantys.jira.plugins.exocet.jira-plugin-exocet-pro,copysync,Elements Copy and Sync (formerly Exocet)
AO_F90A7B,com.valiantys.jira.plugins.SQLFeed,sqlfeed,Elements Connect (formerly nFeed)
AO_353A13,com.valiantys.software.elements,checklist,Elements Checklist
AO_216B11,com.view26.servicedesk-report.jira,jsdreports,Charts and Reports for Jira Service Desk
AO_3D5E3B,com.whitehatsecurity.jira.plugins.sentinel2jirav5,whitehat,WhiteHat Sentinel Plugin
AO_63D3CD,com.wittified.atl-announcer-jira,announcer,Announcer for JIRA
AO_2B7A0E,com.wittified.delegated-group-management-in-jira,delegategroups,Delegated Group Management in JIRA
